Project,Bug,Method,Depth,Tarantula-hit,Tarantula-freq-ef_ep_nf_np
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,12,org.jfree.chart.plot.MultiplePiePlot.<init>(Lorg/jfree/data/category/CategoryDataset;)V,1,6.0,19.0
Chart,13,org.jfree.chart.block.BorderArrangement.arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D;,5,2.0,2.0
Chart,13,org.jfree.chart.block.BorderArrangement.arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D;,5,2.0,2.0
Chart,13,org.jfree.chart.block.BorderArrangement.arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D;,5,2.0,2.0
Chart,13,org.jfree.chart.block.BorderArrangement.arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D;,5,2.0,2.0
Chart,13,org.jfree.chart.block.BorderArrangement.arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D;,5,2.0,2.0
Chart,13,org.jfree.chart.block.BorderArrangement.arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D;,5,2.0,2.0
Chart,13,org.jfree.chart.block.BorderArrangement.arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D;,5,2.0,2.0
Chart,13,org.jfree.chart.block.BorderArrangement.arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D;,5,2.0,2.0
Chart,13,org.jfree.chart.block.BorderArrangement.arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D;,5,2.0,2.0
Chart,13,org.jfree.chart.block.BorderArrangement.arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D;,5,2.0,2.0
Chart,13,org.jfree.chart.block.BorderArrangement.arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D;,5,2.0,2.0
Chart,13,org.jfree.chart.block.BorderArrangement.arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D;,5,2.0,2.0
Chart,13,org.jfree.chart.block.BorderArrangement.arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D;,5,2.0,2.0
Chart,13,org.jfree.chart.block.BorderArrangement.arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D;,5,2.0,2.0
Chart,13,org.jfree.chart.block.BorderArrangement.arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D;,5,2.0,2.0
Chart,13,org.jfree.chart.block.BorderArrangement.arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D;,5,2.0,2.0
Chart,14,org.jfree.chart.plot.CategoryPlot.removeDomainMarker(ILorg/jfree/chart/plot/Marker;Lorg/jfree/chart/util/Layer;Z)Z,4,10.5,10.5
Chart,14,org.jfree.chart.plot.CategoryPlot.removeRangeMarker(ILorg/jfree/chart/plot/Marker;Lorg/jfree/chart/util/Layer;Z)Z,4,10.5,10.5
Chart,14,org.jfree.chart.plot.XYPlot.removeDomainMarker(ILorg/jfree/chart/plot/Marker;Lorg/jfree/chart/util/Layer;Z)Z,4,10.5,10.5
Chart,14,org.jfree.chart.plot.XYPlot.removeRangeMarker(ILorg/jfree/chart/plot/Marker;Lorg/jfree/chart/util/Layer;Z)Z,4,10.5,10.5
Chart,15,org.jfree.chart.plot.PiePlot.initialise(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Lorg/jfree/chart/plot/PiePlot;Ljava/lang/Integer;Lorg/jfree/chart/plot/PlotRenderingInfo;)Lorg/jfree/chart/plot/PiePlotState;,3,8.5,13.0
Chart,15,org.jfree.chart.plot.PiePlot.initialise(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Lorg/jfree/chart/plot/PiePlot;Ljava/lang/Integer;Lorg/jfree/chart/plot/PlotRenderingInfo;)Lorg/jfree/chart/plot/PiePlotState;,3,8.5,13.0
Chart,15,org.jfree.chart.plot.PiePlot.initialise(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Lorg/jfree/chart/plot/PiePlot;Ljava/lang/Integer;Lorg/jfree/chart/plot/PlotRenderingInfo;)Lorg/jfree/chart/plot/PiePlotState;,3,8.5,13.0
Chart,15,org.jfree.chart.plot.PiePlot.initialise(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Lorg/jfree/chart/plot/PiePlot;Ljava/lang/Integer;Lorg/jfree/chart/plot/PlotRenderingInfo;)Lorg/jfree/chart/plot/PiePlotState;,3,8.5,13.0
Chart,16,org.jfree.data.category.DefaultIntervalCategoryDataset.<init>([Ljava/lang/Comparable;[Ljava/lang/Comparable;[[Ljava/lang/Number;[[Ljava/lang/Number;)V,3,15.0,17.5
Chart,16,org.jfree.data.category.DefaultIntervalCategoryDataset.<init>([Ljava/lang/Comparable;[Ljava/lang/Comparable;[[Ljava/lang/Number;[[Ljava/lang/Number;)V,3,15.0,17.5
Chart,16,org.jfree.data.category.DefaultIntervalCategoryDataset.<init>([Ljava/lang/Comparable;[Ljava/lang/Comparable;[[Ljava/lang/Number;[[Ljava/lang/Number;)V,3,15.0,17.5
Chart,16,org.jfree.data.category.DefaultIntervalCategoryDataset.<init>([Ljava/lang/Comparable;[Ljava/lang/Comparable;[[Ljava/lang/Number;[[Ljava/lang/Number;)V,3,15.0,17.5
Chart,16,org.jfree.data.category.DefaultIntervalCategoryDataset.<init>([Ljava/lang/Comparable;[Ljava/lang/Comparable;[[Ljava/lang/Number;[[Ljava/lang/Number;)V,3,15.0,17.5
Chart,16,org.jfree.data.category.DefaultIntervalCategoryDataset.<init>([Ljava/lang/Comparable;[Ljava/lang/Comparable;[[Ljava/lang/Number;[[Ljava/lang/Number;)V,3,15.0,17.5
Chart,16,org.jfree.data.category.DefaultIntervalCategoryDataset.<init>([Ljava/lang/Comparable;[Ljava/lang/Comparable;[[Ljava/lang/Number;[[Ljava/lang/Number;)V,3,15.0,17.5
Chart,16,org.jfree.data.category.DefaultIntervalCategoryDataset.<init>([Ljava/lang/Comparable;[Ljava/lang/Comparable;[[Ljava/lang/Number;[[Ljava/lang/Number;)V,3,15.0,17.5
Chart,16,org.jfree.data.category.DefaultIntervalCategoryDataset.setCategoryKeys([Ljava/lang/Comparable;)V,1,5.5,5.5
Chart,17,org.jfree.data.time.TimeSeries.clone()Ljava/lang/Object;,1,2.0,3.0
Chart,17,org.jfree.data.time.TimeSeries.clone()Ljava/lang/Object;,1,2.0,3.0
Chart,18,org.jfree.data.DefaultKeyedValues2D.removeColumn(Ljava/lang/Comparable;)V,2,4.5,4.5
Chart,18,org.jfree.data.DefaultKeyedValues2D.removeColumn(Ljava/lang/Comparable;)V,2,4.5,4.5
Chart,18,org.jfree.data.DefaultKeyedValues2D.removeColumn(Ljava/lang/Comparable;)V,1,4.5,4.5
Chart,18,org.jfree.data.DefaultKeyedValues2D.removeColumn(Ljava/lang/Comparable;)V,1,4.5,4.5
Chart,18,org.jfree.data.DefaultKeyedValues.removeValue(Ljava/lang/Comparable;)V,3,4.5,4.5
Chart,18,org.jfree.data.DefaultKeyedValues.removeValue(Ljava/lang/Comparable;)V,3,4.5,4.5
Chart,18,org.jfree.data.DefaultKeyedValues.removeValue(Ljava/lang/Comparable;)V,2,4.5,4.5
Chart,18,org.jfree.data.DefaultKeyedValues.removeValue(Ljava/lang/Comparable;)V,2,4.5,4.5
Chart,18,org.jfree.data.DefaultKeyedValues.removeValue(Ljava/lang/Comparable;)V,1,4.5,4.5
Chart,18,org.jfree.data.DefaultKeyedValues.removeValue(Ljava/lang/Comparable;)V,1,4.5,4.5
Chart,18,org.jfree.data.DefaultKeyedValues.removeValue(Ljava/lang/Comparable;)V,1,4.5,4.5
Chart,18,org.jfree.data.DefaultKeyedValues.removeValue(Ljava/lang/Comparable;)V,1,4.5,4.5
Chart,18,org.jfree.data.DefaultKeyedValues.removeValue(I)V,4,4.5,4.5
Chart,18,org.jfree.data.DefaultKeyedValues.removeValue(I)V,3,4.5,4.5
Chart,18,org.jfree.data.DefaultKeyedValues.removeValue(I)V,2,4.5,4.5
Chart,18,org.jfree.data.DefaultKeyedValues.removeValue(I)V,2,4.5,4.5
Chart,19,org.jfree.chart.plot.CategoryPlot.getDomainAxisIndex(Lorg/jfree/chart/axis/CategoryAxis;)I,1,2.5,2.5
Chart,19,org.jfree.chart.plot.CategoryPlot.getRangeAxisIndex(Lorg/jfree/chart/axis/ValueAxis;)I,1,2.5,2.5
Chart,19,org.jfree.chart.plot.CategoryPlot.getRangeAxisIndex(Lorg/jfree/chart/axis/ValueAxis;)I,1,2.5,2.5
Chart,2,org.jfree.data.general.DatasetUtilities.iterateDomainBounds(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;,2,33.0,38.0
